X_Coord,Y_Coord,CD_um
95.94,77.23,1.5288
-49.36,78.0,1.5246
-49.58,55.29,1.5129
-70.6,-62.41,1.5296
-64.7,-72.93,1.4608
-1.65,-30.75,1.5128
-38.31,-88.79,1.4957
-23.91,-94.41,1.5004
-23.64,-19.62,1.5432
52.61,33.87,1.5201
-60.59,43.26,1.4375
-68.2,49.29,1.4656
5.69,46.15,1.5083
-52.3,-95.13,1.4944
24.74,86.35,1.506
-48.77,14.5,1.4706
-25.16,-7.92,1.4649
-67.13,-24.89,1.5573
-23.24,70.37,1.4984
75.23,-89.64,1.4424
55.5,-43.74,1.4834
83.42,-73.96,1.4985
-40.4,4.33,1.4396
-65.59,-70.09,1.5052
-31.21,-29.81,1.4997
45.19,4.39,1.5268
25.64,82.25,1.4272
-0.97,52.51,1.4978
-77.59,31.94,1.5107
-26.37,-88.55,1.4641
-23.74,73.93,1.4809
48.57,-79.38,1.4795
80.33,12.75,1.5001
47.35,49.78,1.5506
-49.15,91.7,1.4723
-44.4,14.13,1.529
-10.34,-79.81,1.5395
-42.44,4.12,1.4673
-17.2,6.08,1.4823
73.1,-31.75,1.5513
-63.69,-53.77,1.4339
-43.15,-51.22,1.5484
36.46,-99.0,1.4992
48.65,-17.76,1.4858
-93.52,-2.33,1.507
-16.93,-90.92,1.5383
60.24,59.39,1.5056
59.36,-74.55,1.554
96.96,-58.11,1.4531
-15.94,-36.87,1.4961
65.82,33.63,1.5079
-91.62,-4.1,1.448
-68.82,-42.34,1.5491
63.46,-33.85,1.4943
-48.74,38.16,1.4766
72.13,-14.13,1.5
76.34,-54.44,1.4736
-97.5,72.74,1.462
-72.1,-72.41,1.514
50.7,-76.97,1.4798
45.21,41.45,1.4489
36.52,96.23,1.4834
80.84,-42.06,1.5293
-68.84,14.52,1.4777
-32.94,58.18,1.5503
-58.89,29.63,1.5185
-83.33,-14.98,1.5593
-34.68,21.35,1.5056
25.73,12.18,1.4932
26.84,74.17,1.5018
79.3,-60.03,1.4981
12.8,75.44,1.5036
1.24,-96.87,1.4523
-13.56,-72.62,1.4815
16.31,74.98,1.4921
-15.79,-87.86,1.5253
90.33,41.0,1.4976
64.43,-91.35,1.4448
0.71,24.94,1.5044
-64.92,-26.5,1.4739
41.56,74.89,1.4964
-84.53,-73.49,1.5351
-12.04,75.94,1.5179
16.14,-48.61,1.5502
-3.47,-92.54,1.5165
80.82,43.34,1.4962
73.32,97.33,1.5223
87.3,68.62,1.4839
35.44,-16.02,1.5091
16.15,98.57,1.4881
-37.26,31.65,1.5012
-52.69,-77.46,1.4986
-68.26,92.36,1.4588
10.72,56.98,1.4938
62.12,-83.66,1.4707
60.19,-35.15,1.5602
62.49,89.58,1.5042
-94.65,-82.26,1.5393
-70.69,-39.01,1.5179
73.76,44.41,1.5138
-45.63,-4.03,1.5137
6.65,-25.93,1.5024
87.5,-91.1,1.5413
-87.17,-31.67,1.4955
-84.65,47.54,1.4867
26.75,-84.64,1.5336
-45.06,30.94,1.5218
55.02,53.56,1.4899
-48.29,-98.03,1.4689
55.48,45.5,1.4653
87.45,-19.31,1.5276
-73.34,76.56,1.5047
-81.5,85.36,1.4582
-50.65,60.72,1.5293
-36.43,-42.94,1.5192
41.91,-57.3,1.4734
-35.89,75.34,1.5006
-34.79,-1.72,1.4822
16.79,-57.37,1.4873
-8.39,20.72,1.5226
-14.86,-20.76,1.5076
-94.55,71.93,1.4647
-7.76,-35.34,1.484
16.59,44.49,1.5129
-87.49,12.12,1.5082
23.86,4.63,1.5573
68.45,53.55,1.5022
98.41,-74.93,1.5013
-33.58,-74.4,1.491
78.33,41.64,1.5101
-64.67,-32.7,1.5032
77.49,-97.25,1.4896
-51.22,-99.08,1.4661
22.09,-39.49,1.4847
-24.25,-66.49,1.5023
21.54,57.4,1.4744
43.13,19.54,1.4489
5.27,-45.42,1.5213
97.71,-55.5,1.524
-52.65,55.74,1.4521
-86.62,14.16,1.4892
-84.64,-19.34,1.5689
-44.56,-49.91,1.5249
-77.39,-90.6,1.4921
25.45,47.1,1.4922
43.37,-56.16,1.4525
50.29,-21.61,1.5113
-40.04,-65.01,1.4918
-99.14,-52.72,1.5001
-65.76,72.15,1.485
23.33,-74.06,1.4696
-21.05,12.59,1.524
77.7,8.28,1.4909
64.49,-44.67,1.4964
-33.65,-48.75,1.4728
-54.64,-50.59,1.4973
2.35,-37.83,1.5492
-26.62,-32.03,1.4934
-68.51,97.58,1.4414
75.74,-62.19,1.5282
12.55,95.2,1.4974
-17.73,49.31,1.5408
10.01,46.59,1.4773
-88.18,48.07,1.4704
-95.1,-48.88,1.4638
22.7,-53.74,1.4622
-22.99,70.37,1.4719
91.0,-69.01,1.4909
-2.36,32.82,1.5058
19.41,81.83,1.4794
4.02,99.99,1.5006
-34.67,42.75,1.5165
31.71,78.2,1.5025
-4.01,52.88,1.5074
-20.0,-49.02,1.4773
18.36,5.0,1.506
50.7,3.98,1.5301
99.8,54.41,1.5356
-82.02,-94.77,1.4932
62.92,-8.45,1.5347
55.46,53.15,1.4961
82.08,-9.82,1.5236
27.07,-18.19,1.4871
21.58,54.07,1.4976
76.1,93.61,1.5045
40.88,19.97,1.4873
12.72,64.19,1.5898
83.06,51.99,1.4792
-23.94,-99.99,1.4807
-65.89,89.93,1.4673
92.27,-98.84,1.5151
-88.46,99.93,1.4665
71.28,99.68,1.4375
75.17,-57.67,1.5209
25.78,41.94,1.4887
-40.96,18.15,1.5093
51.4,59.6,1.4945
-74.73,-18.43,1.5113
20.45,23.55,1.534
60.43,-44.36,1.4802
22.25,98.14,1.4723
-99.27,10.36,1.5316
-44.8,24.62,1.5175
-73.11,48.96,1.4769
-8.59,-23.21,1.5177
78.69,69.85,1.4846
69.56,-13.38,1.5028
60.01,-3.47,1.4424
-72.19,-89.35,1.5023
61.68,96.08,1.4229
10.14,59.19,1.5188
-7.92,18.75,1.5371
76.24,-6.7,1.4761
53.56,-99.1,1.4856
31.46,-33.82,1.4636
22.82,68.39,1.5075
-9.85,-17.1,1.4703
14.35,65.83,1.4817
21.95,-29.26,1.4873
78.44,-11.73,1.4911
-70.98,14.63,1.5473
-0.21,-70.49,1.4685
-17.6,51.06,1.5031
-75.78,82.54,1.5396
61.05,22.12,1.5058
1.02,90.95,1.4952
-91.85,-13.72,1.5007
30.33,48.33,1.5669
-71.64,91.19,1.5124
-39.67,48.51,1.5663
-10.04,-18.36,1.4918
77.24,-0.45,1.502
-12.2,-47.06,1.5054
-35.21,-64.33,1.5202
31.45,56.2,1.5035
25.57,30.16,1.4624
-11.05,90.55,1.4706
17.52,39.63,1.4345
-12.27,93.61,1.5073
75.48,-90.04,1.5073
41.25,41.76,1.4786
-80.17,-63.48,1.5352
-26.89,-0.43,1.5332
-82.81,-7.96,1.5329
79.32,63.37,1.4808
-52.05,15.17,1.5244
82.12,23.48,1.4555
78.35,-27.01,1.483
-32.01,-72.74,1.5326
-19.3,71.75,1.5007
-44.82,-6.15,1.4557
-71.13,-96.98,1.5274
97.7,-4.45,1.5098
-73.45,91.88,1.4913
-52.32,12.72,1.4726
20.9,55.45,1.5041
-46.23,-2.39,1.4954
-59.85,-27.64,1.5335
21.69,-62.11,1.4819
-59.89,-4.08,1.5194
81.14,92.06,1.4702
-52.28,75.87,1.4821
9.22,4.92,1.4402
36.28,-45.04,1.5009
-89.72,26.62,1.5062
-3.75,-82.38,1.5178
-18.95,-54.72,1.4874
-93.28,-6.6,1.5175
-28.44,96.12,1.4987
-18.71,80.8,1.5147
94.86,14.6,1.5374
44.78,44.48,1.5021
-38.29,87.54,1.5109
-72.67,71.3,1.4903
10.29,-50.1,1.5029
-99.37,92.31,1.4669
41.61,87.45,1.5552
83.5,88.13,1.5463
51.53,58.94,1.4896
23.51,58.87,1.4915
-63.5,86.57,1.4756
69.35,-86.34,1.5024
-60.85,-98.33,1.4789
-79.84,80.9,1.5123
73.74,-5.84,1.51
-42.16,-90.17,1.5219
-90.9,-94.26,1.5086
-74.96,34.24,1.4952
-28.63,80.43,1.4566
37.21,94.18,1.5176
9.35,64.86,1.5178
21.16,9.39,1.5245
45.45,-63.09,1.5193
19.49,-41.5,1.5124
-87.68,-73.55,1.4989
-50.83,-12.57,1.5083
-84.94,-71.64,1.5023
4.31,-23.92,1.5886
26.47,-86.22,1.5074
78.31,8.82,1.5231
-92.77,-40.88,1.5606
57.45,85.67,1.4966
88.39,72.55,1.5021
-50.1,97.35,1.4754
-51.85,-31.2,1.4818
31.51,85.53,1.5218
-12.96,-65.48,1.4549
14.97,-45.53,1.5338
24.99,61.5,1.4557
-99.6,32.15,1.4529
32.98,90.94,1.485
-50.4,-34.13,1.4762
73.74,-11.84,1.4864
-65.24,78.75,1.557
81.33,-65.11,1.5162
15.66,-23.58,1.5105
11.77,-98.44,1.5399
-35.47,-4.01,1.4994
91.98,-50.35,1.5321
-10.01,-55.36,1.523
83.77,-38.99,1.52
-27.67,31.0,1.4828
-25.53,-56.0,1.4629
-98.05,-8.49,1.4996
59.5,83.79,1.551
-70.7,86.58,1.5159
2.7,60.32,1.4849
-85.82,-73.42,1.497
99.61,49.89,1.5033
46.74,91.19,1.5174
18.33,52.71,1.5076
-66.47,1.3,1.4811
97.7,70.18,1.509
82.34,-62.87,1.4712
-53.46,-99.36,1.5392
79.03,44.75,1.523
89.67,-87.28,1.4628
-4.71,37.46,1.4901
-66.85,98.76,1.4844
4.66,34.62,1.4829
89.53,-13.7,1.5433
15.0,33.48,1.4734
-33.58,5.73,1.4934
-23.34,-57.2,1.4678
91.21,-48.62,1.4949
44.84,-46.53,1.4572
97.36,7.06,1.5031
40.55,-78.01,1.5154
57.95,-93.65,1.512
19.46,-43.14,1.4822
-32.05,63.87,1.4909
-11.85,41.43,1.5094
19.99,-25.37,1.5082
-51.59,-23.85,1.4813
-81.53,64.91,1.4793
11.7,-83.32,1.461
71.17,50.42,1.484
-64.9,-13.16,1.4751
-57.21,40.15,1.4996
58.94,-70.49,1.5248
-63.44,-25.94,1.4908
99.95,14.99,1.4563
50.83,37.11,1.5333
14.05,85.62,1.4783
80.27,35.71,1.4914
-17.93,-35.62,1.4857
41.04,-27.85,1.4938
-17.25,81.5,1.5214
-41.4,51.72,1.4893
62.39,54.27,1.5145
74.67,54.85,1.4598
-11.43,24.53,1.4957
-78.63,-41.46,1.5459
-59.15,-78.89,1.533
24.74,74.7,1.5044
-60.14,80.13,1.5436
12.66,-45.79,1.5316
-82.73,-21.51,1.4801
-21.74,-6.71,1.4711
-84.2,13.97,1.5392
54.42,-13.63,1.5158
6.1,6.35,1.429
30.34,75.69,1.5304
85.92,-83.75,1.4569
-36.0,35.38,1.5033
54.0,-69.01,1.4118
94.11,78.67,1.5013
-88.59,71.22,1.4592
-38.23,-78.57,1.5162
-2.01,-72.72,1.531
-39.24,49.79,1.4479
-88.72,99.31,1.4977
3.48,78.83,1.4893
-68.73,51.62,1.5053
40.1,-3.95,1.5147
68.53,-68.22,1.4834
-70.29,-2.41,1.4745
83.23,30.88,1.5242
86.7,-48.59,1.4755
45.3,30.02,1.4691
-42.35,-66.64,1.4975
85.23,-70.16,1.5548
39.08,65.19,1.5106
95.37,-72.13,1.5466
-58.13,43.07,1.5025
53.47,57.64,1.5067
-26.52,2.13,1.4672
-76.26,82.34,1.4753
42.46,62.75,1.5075
72.64,87.5,1.526
-35.81,7.85,1.4503
77.31,-5.65,1.465
26.34,-77.66,1.5193
33.56,78.96,1.4917
64.8,-2.47,1.5247
-31.31,-89.64,1.5016
27.67,-96.49,1.4895
53.01,-83.55,1.4609
-78.56,50.61,1.4874
90.99,73.99,1.4762
-92.62,-53.34,1.5284
-59.45,-47.11,1.5108
-61.17,73.95,1.4913
36.85,-99.27,1.5058
-0.39,-83.42,1.4827
-80.58,45.86,1.4837
9.68,-83.58,1.5389
-18.18,84.11,1.4908
88.52,-80.94,1.4961
14.02,81.33,1.4256
-44.15,-2.98,1.5237
2.45,-24.5,1.5396
62.08,-8.52,1.4682
-9.21,53.45,1.5351
-59.78,12.31,1.4638
-64.2,-90.78,1.4895
11.26,31.16,1.4575
70.88,-65.35,1.5023
75.08,11.72,1.5148
-5.86,-82.72,1.4535
-22.23,-7.79,1.443
-14.1,71.82,1.5032
57.5,93.28,1.456
8.62,-6.31,1.533
80.62,-54.45,1.5395
-94.62,51.49,1.5253
-8.47,-16.79,1.4817
48.17,14.87,1.5339
50.55,-41.93,1.5662
38.94,11.87,1.5394
-35.18,13.45,1.5383
-24.75,21.01,1.5007
19.77,-36.68,1.4867
96.54,39.06,1.4631
-45.3,63.62,1.5289
-1.78,7.5,1.5291
-1.68,83.58,1.5403
91.81,10.5,1.5106
-48.18,-24.01,1.5012
-82.54,-57.5,1.5057
92.11,-61.18,1.4955
70.84,64.81,1.4701
55.03,41.65,1.4676
-98.97,-82.78,1.4894
21.67,28.55,1.4584
40.87,30.16,1.5191
44.4,55.22,1.5038
65.41,-13.35,1.507
-59.19,-49.71,1.4528
-43.89,-89.92,1.4554
8.86,17.28,1.4234
-10.37,-5.85,1.5066
-54.7,-99.93,1.4837
-98.32,-93.88,1.5065
-64.33,86.17,1.5288
-39.42,-18.26,1.5265
-61.36,8.45,1.4202
39.58,-40.1,1.5551
11.43,-27.19,1.5204
83.84,2.26,1.5306
-94.63,-77.92,1.4883
-57.74,-87.4,1.5224
97.81,14.07,1.4724
-46.8,-80.38,1.4683
14.65,-38.1,1.502
-4.31,-32.26,1.518
23.96,90.88,1.5362
4.52,-60.1,1.5288
-23.89,62.66,1.5092
56.03,-73.74,1.5362
-33.81,-11.48,1.4932
-86.12,-61.56,1.4521
19.75,-91.4,1.4833
-72.77,-30.17,1.5229
-56.37,84.81,1.4905
-90.52,4.61,1.5084
-19.29,-70.87,1.4583
-47.63,30.08,1.5241
-42.73,32.37,1.5101
79.34,16.99,1.4871
2.13,-61.4,1.5435
-47.43,75.19,1.4678
49.1,-22.21,1.5143
56.07,-50.84,1.4791
66.79,-82.09,1.5196
-97.28,67.58,1.4792
58.11,16.04,1.4559
-54.27,20.15,1.5483
-8.85,91.31,1.5149
36.73,20.2,1.5182
14.48,24.85,1.5078
78.17,-31.96,1.5018
-11.32,62.28,1.4806
-55.16,-85.37,1.5395
24.19,-31.65,1.5977
50.78,41.71,1.6019
-71.09,-75.85,1.5303
-1.53,-13.59,1.5022
-9.44,68.23,1.4895
-17.08,13.18,1.4737
4.53,61.66,1.4932
69.59,-87.02,1.4679
38.06,-86.5,1.4896
-6.52,-31.82,1.4577
97.69,-70.13,1.5099
-21.66,-97.94,1.5315
16.74,21.75,1.4988
-85.56,-56.77,1.4702
-38.91,-87.04,1.4719
-12.43,99.78,1.5095
-80.54,0.91,1.5267
38.11,74.35,1.4997
-74.1,72.01,1.4962
-0.61,-25.91,1.5184
-35.43,99.08,1.4488
-75.43,-45.62,1.4923
-8.2,-0.05,1.4688
34.07,49.34,1.4862
-22.27,42.09,1.5313
25.75,-21.92,1.5248
-5.42,-71.43,1.5053
-56.18,23.06,1.4652
85.82,6.51,1.529
-11.93,49.95,1.4449
69.68,-75.66,1.5222
13.3,-8.0,1.4723
-44.86,-65.0,1.4785
90.51,30.6,1.5248
75.15,73.19,1.5221
41.76,37.62,1.4713
65.51,65.99,1.5571
52.12,10.17,1.5089
58.12,85.57,1.5207
48.46,68.43,1.4866
69.94,32.85,1.5307
6.9,95.03,1.4874
11.89,-71.88,1.5003
87.03,-41.78,1.4762
-97.08,0.82,1.4962
98.81,-64.97,1.4938
-31.73,20.81,1.4496
70.14,70.62,1.5189
-48.8,-43.69,1.5069
74.76,38.18,1.4995
-36.08,-54.69,1.535
-88.58,32.53,1.5284
-5.13,-54.33,1.5227
94.65,-44.14,1.5552
62.08,63.35,1.4884
-72.07,65.93,1.4823
74.49,43.92,1.4762
-70.6,-43.22,1.4569
98.06,-91.66,1.5289
0.75,-55.59,1.443
14.72,69.51,1.4969
84.13,-25.92,1.5619
-32.44,-33.8,1.4777
85.12,32.04,1.4693
13.27,73.39,1.5027
-19.62,-84.55,1.4939
11.9,-21.29,1.4852
39.68,-99.34,1.5499
40.57,22.92,1.4884
68.84,31.76,1.4925
99.41,47.72,1.5145
-70.97,36.4,1.5255
-25.58,-9.55,1.5428
-0.77,-21.7,1.4644
23.63,-85.83,1.5027
-59.55,34.04,1.418
97.47,38.7,1.4513
69.86,42.12,1.5105
-9.02,88.34,1.4769
-92.15,29.34,1.4692
83.99,-81.75,1.498
20.13,-48.0,1.4798
52.23,-90.91,1.4425
55.69,5.7,1.495
9.31,67.95,1.4987
12.6,-3.54,1.498
-11.28,-74.67,1.5335
26.3,-20.41,1.5
56.86,71.26,1.491
86.14,93.96,1.4324
40.54,19.67,1.5386
-25.86,75.34,1.5465
49.71,-16.44,1.4504
51.13,-16.32,1.4874
70.02,-39.88,1.487
-12.42,56.26,1.5224
-82.19,47.84,1.5808
12.52,63.34,1.5465
27.73,-91.71,1.4852
40.18,-9.53,1.5427
11.58,1.53,1.5172
-53.01,5.91,1.4942
-13.65,76.24,1.433
-68.98,-42.08,1.5183
24.95,-90.41,1.4491
46.6,-17.64,1.5173
-31.68,92.79,1.4967
-64.9,-80.41,1.4737
-33.69,-34.15,1.4769
-86.31,72.78,1.5691
73.78,-99.24,1.5579
2.6,27.8,1.4923
7.69,-62.5,1.4848
-32.64,79.06,1.5008
79.89,-32.12,1.4626
-73.29,-88.06,1.49
-78.97,2.93,1.5003
63.85,-48.98,1.5348
-47.17,88.12,1.5235
-5.73,-15.39,1.4585
-34.61,-93.74,1.5175
58.4,-35.42,1.5157
-97.32,49.65,1.5124
-0.99,82.69,1.5255
-50.28,7.67,1.5108
43.56,-94.59,1.4837
-30.87,79.73,1.5052
25.04,-81.46,1.4972
-42.13,68.66,1.4634
-28.29,49.51,1.4999
8.57,-13.29,1.4516
93.79,42.4,1.462
-71.8,-51.9,1.5514
9.99,12.39,1.5213
-70.72,37.75,1.4809
-66.71,-17.77,1.4936
-99.38,-31.48,1.5001
85.57,4.99,1.5217
-27.67,89.43,1.5737
-72.06,6.37,1.5183
-56.89,43.82,1.5095
-89.45,62.86,1.4407
50.15,48.8,1.4551
-0.88,65.84,1.5146
-18.56,-24.79,1.5385
78.01,75.99,1.4943
-18.93,-36.55,1.5166
30.33,-68.09,1.4958
-61.05,-72.49,1.5191
0.31,1.19,1.4596
2.85,-10.16,1.494
-19.17,-36.08,1.5418
-53.93,-25.26,1.5212
40.09,-35.76,1.5277
59.68,-30.16,1.5785
85.84,-67.27,1.5424
29.1,-2.87,1.4824
6.49,93.71,1.4828
92.19,-56.52,1.5109
85.83,56.38,1.4754
-40.22,91.83,1.4908
-63.19,69.49,1.5105
9.95,49.01,1.4762
-50.56,96.48,1.4997
-92.17,18.87,1.4892
-38.41,-98.26,1.477
-38.7,35.48,1.51
97.36,52.23,1.5271
-22.64,55.22,1.4637
83.95,32.02,1.5323
72.33,-77.55,1.5802
46.94,-30.82,1.5036
-81.1,-94.19,1.5481
-27.88,77.06,1.5325
-71.18,15.69,1.5024
-55.78,-64.13,1.4787
-62.06,37.11,1.4956
48.22,63.81,1.5486
-85.36,-54.35,1.5049
-93.26,75.12,1.4739
50.16,-12.28,1.5377
80.94,25.7,1.4261
-83.77,68.68,1.4814
-15.25,-29.64,1.504
-47.56,81.81,1.4868
57.65,31.51,1.4445
-86.39,-15.86,1.4727
13.99,-12.74,1.501
-53.86,-15.63,1.5129
88.06,24.02,1.5101
-75.1,-30.69,1.4783
46.83,7.74,1.5408
-36.62,-59.55,1.4858
71.49,-39.31,1.5092
-6.85,-58.54,1.4697
69.15,-43.55,1.4773
99.0,-79.08,1.4867
52.75,11.64,1.508
87.85,-43.4,1.4847
-57.66,-48.61,1.5453
-58.4,6.62,1.4669
-44.75,27.46,1.4832
-1.04,69.11,1.4949
-58.41,27.06,1.5014
-9.42,-30.11,1.4686
-31.14,-50.66,1.5129
5.27,-5.38,1.5538
-70.87,50.83,1.4823
50.36,-75.42,1.5338
20.29,-21.77,1.5164
9.06,-71.18,1.4551
56.8,-61.23,1.5007
22.37,17.45,1.477
67.69,3.8,1.5453
-32.39,5.71,1.5622
-34.68,73.74,1.5333
83.31,1.47,1.5514
-94.67,-80.17,1.4915
38.08,-40.49,1.5493
-80.74,-38.54,1.4641
-63.56,-18.83,1.559
26.79,62.07,1.5003
-50.73,-76.61,1.5248
-69.28,-92.7,1.5518
61.29,-31.51,1.4636
51.42,-9.46,1.5312
91.15,-6.66,1.4612
42.45,11.9,1.5277
61.8,30.75,1.5319
-46.56,-23.22,1.5553
-31.81,8.61,1.5208
-59.1,55.91,1.4677
-86.84,-54.91,1.5543
-97.01,50.98,1.4453
15.22,-29.57,1.5301
-48.42,-99.34,1.5004
-80.35,-64.46,1.5191
34.72,-61.23,1.4845
27.04,69.24,1.525
59.32,-44.9,1.5237
17.1,-35.74,1.5043
43.91,65.12,1.5272
-59.73,48.71,1.4927
81.62,63.87,1.539
-15.14,38.02,1.5484
-63.56,-17.6,1.4816
99.35,-11.82,1.4646
-65.31,89.69,1.4694
-7.96,-98.63,1.4707
-62.35,-99.06,1.5015
-63.92,96.79,1.4924
92.65,71.75,1.5247
-38.64,65.4,1.4444
56.33,25.99,1.5379
41.84,37.01,1.5082
70.39,95.34,1.5063
99.89,59.93,1.5176
-92.24,93.73,1.4921
88.25,-56.22,1.5539
-32.73,-0.78,1.4742
-99.0,53.52,1.473
15.21,36.93,1.5275
-28.32,91.55,1.4987
-64.53,84.01,1.4774
11.84,-53.95,1.5141
-82.69,-66.49,1.4843
-68.06,-70.65,1.5312
-6.53,79.4,1.5195
47.32,-63.8,1.5359
-70.11,-7.35,1.5195
96.52,-42.14,1.4543
51.07,61.67,1.507
-71.69,38.36,1.484
-82.45,89.91,1.4563
-38.31,-37.73,1.5394
-37.35,-25.49,1.489
34.38,58.88,1.4437
-81.72,58.98,1.5035
-92.26,86.56,1.4593
-79.38,72.54,1.4525
67.8,-58.36,1.5198
-38.44,83.32,1.4688
-77.61,15.15,1.4967
-19.21,-59.54,1.511
91.25,95.18,1.4909
-72.38,-94.45,1.5222
83.72,-35.66,1.4517
-85.92,-38.98,1.4915
-16.74,75.75,1.51
-48.31,-34.08,1.5486
89.74,42.93,1.5391
35.92,-82.18,1.5407
-36.95,34.05,1.5214
74.43,-12.2,1.4441
-43.78,53.64,1.4973
-26.87,-70.9,1.5041
10.26,37.56,1.4748
-21.38,-19.67,1.4975
49.39,-2.34,1.5484
39.11,-50.82,1.4806
21.15,85.98,1.4989
-90.82,-22.56,1.5154
33.48,-98.73,1.4915
-56.22,-83.1,1.5031
15.68,-30.95,1.5377
-95.86,10.42,1.505
22.47,-64.63,1.5079
-41.13,1.57,1.5096
-53.17,97.38,1.5033
37.93,-29.73,1.4727
-88.4,69.73,1.5329
-76.66,10.92,1.5097
86.15,73.31,1.512
-65.08,79.58,1.4945
10.43,-43.39,1.507
97.08,-25.79,1.5573
-70.26,-88.52,1.5377
56.44,-78.04,1.5159
-97.23,14.5,1.4516
88.08,71.76,1.5034
95.85,-57.93,1.4965
-69.14,-21.96,1.498
-56.22,-76.08,1.5314
61.5,-77.85,1.5025
23.09,-22.69,1.4725
-1.47,-42.43,1.5504
-57.0,10.79,1.5116
96.49,-2.19,1.5239
-16.61,60.26,1.5116
-33.38,79.55,1.4962
-96.53,89.83,1.4681
92.64,24.24,1.5023
54.35,73.7,1.525
-58.57,-36.64,1.441
-61.73,-2.15,1.4499
27.0,48.91,1.5187
57.08,34.89,1.4679
-82.05,-30.68,1.5248
75.5,15.78,1.5363
51.04,-55.46,1.5507
-75.56,-17.47,1.5017
-14.62,88.87,1.4912
31.04,-90.35,1.536
-66.07,-51.64,1.4996
17.73,-67.09,1.457
28.04,-1.23,1.4922
-56.36,50.23,1.4665
-61.08,40.68,1.4874
6.03,80.73,1.5383
-46.04,84.93,1.4538
-36.27,-67.2,1.4929
-9.0,96.82,1.4778
-24.56,-15.49,1.5246
-34.87,72.07,1.4669
-98.32,84.11,1.4765
88.46,21.61,1.4707
-6.79,-85.25,1.4822
-0.62,46.11,1.4545
-50.4,34.99,1.543
-97.64,22.98,1.4963
-1.46,-93.51,1.5195
-77.23,67.54,1.5013
-69.51,63.17,1.531
89.21,14.31,1.4813
-39.47,-85.1,1.4994
76.87,-23.09,1.5661
-49.92,-26.76,1.5143
49.78,90.53,1.4963
-54.26,74.43,1.5146
-34.98,-97.91,1.4662
87.82,40.91,1.4622
-16.85,57.37,1.5233
65.02,53.5,1.4875
-15.42,-77.23,1.5262
-47.1,-81.22,1.4676
62.38,53.65,1.4643
57.05,6.35,1.4716
-7.82,81.89,1.4922
13.93,25.67,1.409
22.66,-84.44,1.5583
-37.98,66.13,1.4702
-41.54,73.93,1.5042
-40.37,33.05,1.4848
27.79,84.09,1.5305
97.89,-31.97,1.5742
-98.94,16.95,1.5543
-39.36,94.65,1.5201
-0.16,65.27,1.5173
46.31,34.79,1.4699
79.24,10.73,1.4872
22.11,44.88,1.5163
-97.15,-88.98,1.4694
-38.48,72.6,1.4675
-15.65,79.09,1.4929
71.95,99.1,1.532
9.21,75.5,1.5619
11.4,-87.08,1.5572
-73.75,10.82,1.5075
71.84,34.85,1.4982
58.2,71.65,1.5103
-65.08,40.44,1.468
48.67,-1.67,1.4918
-84.59,80.41,1.5079
-11.99,-13.56,1.501
95.37,57.03,1.5353
13.97,23.53,1.4844
-26.13,-27.09,1.5359
